resta,name
2.156286613493201,Greece
-5.098120090329826,Portugal
-7.066386995184421,Luxembourg
-9.277886158617141,North Macedonia
-10.408966881769699,Spain
-10.551063635966507,Serbia
-10.555556870912692,Romania
-12.369947997917135,Croatia
-12.781858868488536,Turkey
-14.496161524554804,Iceland
-14.54479073586709,Ireland
-14.6452728749589,Italy
-16.12985448776913,Poland
-16.167427231738536,Estonia
-16.314902464402998,Norway
-18.034154541381017,Lithuania
-18.73711991598791,France
-19.620771933022144,Cyprus
-19.862641300499554,Malta
-21.183252107169853,Belgium
-23.147675153241416,Denmark
-24.534097651263565,Netherlands
-24.64854346942032,Bulgaria
-25.903227962067348,Hungary
-26.05429793882454,Switzerland
-26.4510717381507,Austria
-28.055214092576108,Montenegro
-31.03960253626371,Latvia
-31.62045107818817,Slovakia
-34.21489085099338,Germany
-34.36644111079009,Sweden
-38.5232566669508,Czech Republic
-40.819033955492024,Finland
-43.68985365224229,Slovenia
